"Faturamento por dia Tradiça  ","","","","","","","","","","","",""
"Data ","","","","99","","","","","","","",""
"Sexta 26/06","R$ 1.953,44","R$ 943,82","R$ 1.821,79","","R$ 4.719,05","","","","","","",""
"sábado 27/06","R$ 2.223,76","R$ 1.617,67","R$ 1.489,00","","R$ 5.330,43","","","","","","",""
"domingo 28/06","R$ 1.941,32","R$ 1.708,97","R$ 1.732,82","","R$ 5.383,11","","","","","","",""
"Terça 30/06","R$ 697,27","R$ 327,32","R$ 803,27","R$ 521,40","R$ 2.349,26","","","","","","",""
"Quarta 01/07","R$ 1.364,08","R$ 912,60","R$ 662,51","R$ 502,32","R$ 3.441,51","","","","","","",""
"Quinta 02/07","R$ 1.512,89","R$ 808,55","R$ 788,32","R$ 776,42","R$ 3.886,18","","","","","","",""
"Sexta 03/07","R$ 2.267,88","R$ 1.090,56","R$ 1.696,54","R$ 1.652,36","R$ 6.707,34","","","","","","",""
"sábado 04/07","R$ 3.206,60","R$ 1.190,37","R$ 1.729,65","R$ 3.349,11","R$ 9.475,73","","","","","","",""
"domingo 05/07","R$ 2.438,18","R$ 2.069,44","R$ 863,54","R$ 2.045,15","R$ 7.416,31","","","","","","",""
"Terça 07/07","R$ 1.350,15","R$ 2.274,81","R$ 517,98","R$ 1.360,04","R$ 5.502,98","","","","","","",""
"Quarta 08/07","R$ 1.489,55","R$ 1.098,57","R$ 1.216,13","R$ 1.806,76","R$ 5.611,01","","","","","","",""
"Quinta 09/07","R$ 1.096,30","R$ 970,67","R$ 1.148,64","R$ 3.183,54","R$ 6.399,15","","","","","","",""
"Sexta 10/07","R$ 2.009,14","R$ 1.088,98","R$ 1.102,89","R$ 2.507,40","R$ 6.708,41","","","","","","",""
"Sábado 11/07","R$ 2.169,90","R$ 569,68","R$ 1.196,38","R$ 3.245,65","R$ 7.181,61","","","","","","",""
"Domingo 12//07","R$ 1.800,75","R$ 1.053,25","R$ 1.033,52","R$ 2.824,74","R$ 6.712,26","","","","","","",""
"Terça 14/07","R$ 694,51","R$ 481,70","R$ 603,20","R$ 1.747,32","R$ 3.526,73","","","","","","",""
"Quarta 15/07","R$ 764,34","R$ 748,74","R$ 689,34","R$ 2.816,24","R$ 5.018,66","","","","","","",""
"Quinta 16/07","R$ 1.520,49","R$ 343,59","R$ 933,59","R$ 2.186,33","R$ 4.984,00","","","","","","",""
"Sexta 17/07","R$ 1.443,86","R$ 1.070,44","R$ 831,59","R$ 3.324,57","R$ 6.670,46","","","","","","",""
